Date,momentum,price
2020-01-01,,238.10000610351562
2020-01-02,0.007349852814531932,239.85000610351562
2020-01-03,-0.005628543127628616,238.5
2020-01-06,-0.014255739607900941,235.10000610351562
2020-01-07,0.0010633772586543522,235.35000610351562
2020-01-08,-0.004886378268321057,234.1999969482422
2020-01-09,0.0068317938700452885,235.8000030517578
2020-01-10,0.009329927564756257,238.0
2020-01-13,0.005252100840336116,239.25
2020-01-14,0.016718913270637348,243.25
2020-01-15,-0.0034943724707733326,242.39999389648438
2020-01-16,-0.00680690568494402,240.75
2020-01-17,-0.0033229617933865363,239.9499969482422
2020-01-20,0.008126680446104873,241.89999389648438
2020-01-21,-0.014262079517532111,238.4499969482422
2020-01-22,-0.0016774749490611196,238.0500030517578
2020-01-23,-0.0006301581741245954,237.89999389648438
2020-01-24,0.00105086173356006,238.14999389648438
2020-01-27,-0.014906520612852914,234.60000610351562
2020-01-28,-0.01641093778069569,230.75
2020-01-29,0.025568770949011332,236.64999389648438
2020-01-30,-0.010986650799846842,234.0500030517578
2020-01-31,0.004699811281281274,235.14999389648438
2020-02-03,-0.11715921117606565,207.60000610351562
2020-02-04,0.0387764333154923,215.64999389648438
2020-02-05,0.0037097290721084253,216.4499969482422
2020-02-06,-0.013397985388643008,213.5500030517578
2020-02-07,-0.0007024544749694162,213.39999389648438
2020-02-10,-0.013355158979568849,210.5500030517578
2020-02-11,0.009736419007573494,212.60000610351562
2020-02-12,0.0021166365725460157,213.0500030517578
2020-02-13,-0.005397836840180914,211.89999389648438
2020-02-14,-0.01982065629645058,207.6999969482422
2020-02-17,-0.013962416654281551,204.8000030517578
2020-02-18,-0.004638656904717431,203.85000610351562
2020-02-19,0.013980822955086625,206.6999969482422
2020-02-20,0.003628447078244612,207.4499969482422
2020-02-24,-0.021450937641384726,203.0
2020-02-25,-0.005911315015971419,201.8000030517578
2020-02-26,-0.01585726907755025,198.60000610351562
2020-02-27,-0.00528702426731309,197.5500030517578
2020-02-28,0.0,197.5500030517578
2020-03-02,-0.011389521464145513,195.3000030517578
2020-03-03,-0.007424459424395957,193.85000610351562
2020-03-04,-0.03275731701615081,187.5
2020-03-05,0.00293334960937508,188.0500030517578
2020-03-06,-0.033501743948516904,181.75
2020-03-09,-0.02503440468642537,177.1999969482422
2020-03-11,-0.00874719570232585,175.64999389648438
2020-03-12,-0.11300877617123484,155.8000030517578
2020-03-13,0.04139920938319519,162.25
2020-03-16,-0.09244992295839749,147.25
2020-03-17,0.012903184356430453,149.14999389648438
2020-03-18,0.010392243480972452,150.6999969482422
2020-03-19,0.07398811798982918,161.85000610351562
2020-03-20,0.08433730850621135,175.5
2020-03-23,-0.12079770340878737,154.3000030517578
2020-03-24,-0.02981209340593871,149.6999969482422
2020-03-25,-0.015698001954796648,147.35000610351562
2020-03-26,0.061418306196818095,156.39999389648438
2020-03-27,0.04347828207882465,163.1999969482422
2020-03-30,-0.024509804379889588,159.1999969482422
2020-03-31,0.07851758944482823,171.6999969482422
2020-04-01,-0.03086781098403546,166.39999389648438
2020-04-03,0.06911057945803778,177.89999389648438
2020-04-07,0.02051719663013185,181.5500030517578
2020-04-08,-0.015973611162356627,178.64999389648438
2020-04-09,0.036943780179135466,185.25
2020-04-13,-0.019703070966177516,181.60000610351562
2020-04-15,0.042676210019411354,189.35000610351562
2020-04-16,-0.015843675222064313,186.35000610351562
2020-04-17,0.009390930736154157,188.10000610351562
2020-04-20,-0.039340823578714046,180.6999969482422
2020-04-21,-0.006087387179323667,179.60000610351562
2020-04-22,0.014754976650485307,182.25
2020-04-23,-0.009327829619984573,180.5500030517578
2020-04-24,-0.002769315932144689,180.0500030517578
2020-04-27,-0.0011107855865167826,179.85000610351562
2020-04-28,-0.002224126448142627,179.4499969482422
2020-04-29,0.015045957058561266,182.14999389648438
2020-04-30,-0.0005489478346256682,182.0500030517578
2020-05-04,-0.04394397069977285,174.0500030517578
2020-05-05,-0.0008618739020006538,173.89999389648438
2020-05-06,-0.05750431484173946,163.89999389648438
2020-05-07,-0.017693679099926918,161.0
2020-05-08,-0.017080745341614856,158.25
2020-05-11,0.0012638037803613944,158.4499969482422
2020-05-12,0.04165355778246882,165.0500030517578
2020-05-13,0.002120514015481856,165.39999389648438
2020-05-14,-0.009673463747090105,163.8000030517578
2020-05-15,0.005189199199574945,164.64999389648438
2020-05-18,0.0006073860141075915,164.75
2020-05-19,0.036418816388467334,170.75
2020-05-20,0.029282576866764165,175.75
2020-05-21,0.0751066682688033,188.9499969482422
2020-05-22,-0.01376020580428361,186.35000610351562
2020-05-26,0.02870936769250587,191.6999969482422
2020-05-27,0.002347401958298745,192.14999389648438
2020-05-28,-0.007806401496989301,190.64999389648438
2020-05-29,0.03514299722804659,197.35000610351562
